Family_ID	Gene_Count	Core_Status	Protein_Anchor_Orthogroups
fam212	6	PARTIAL	myID1938,myID1939,myID1940,myID1941,myID1942,myID1943,myID1944,myID1945
fam213	3	PARTIAL	myID377,myID378,myID379,myID380,myID381,myID4497
fam214	5	PARTIAL	myID5000,myID5001,myID5002,myID5003
fam215	4	PARTIAL	myID4084,myID4085,myID4086,myID4087,myID4088,myID4089,myID4090
fam216	2	PARTIAL	myID5318,myID5319,myID5320,myID5321,myID5322
fam217	6	CORE	myID2694,myID2695,myID2696,myID2697,myID2698,myID2699,myID2700
fam218	5	PARTIAL	myID2911,myID2912,myID2913,myID2914,myID2915,myID2916
fam219	7	CORE	myID3205,myID3206,myID3207,myID3208,myID3209,myID3210
fam220	2	PARTIAL	myID3080,myID3081,myID3082,myID3083,myID3084,myID3085
fam221	2	PARTIAL	myID129,myID130,myID131,myID132,myID133
fam222	2	PARTIAL	myID789,myID790,myID791,myID792
fam223	5	PARTIAL	myID2312,myID2313,myID2314,myID2315,myID2316,myID2317
fam224	7	PARTIAL	myID1630,myID1631,myID1632,myID1633
fam225	5	PARTIAL	myID1136,myID1139,myID1140,myID1141,myID1142
fam226	2	PARTIAL	myID2253,myID2254,myID2255,myID2256,myID2257
fam227	3	PARTIAL	myID3114,myID3115,myID3116,myID3117,myID3118,myID3121,myID3122,myID3123
fam228	2	PARTIAL	myID2841,myID2842,myID2843,myID2844,myID2845,myID2846
fam229	5	PARTIAL	myID4994,myID4995,myID4996,myID4997,myID4998
fam230	4	PARTIAL	myID3552,myID3553,myID3554,myID3555
fam231	3	PARTIAL	myID4985,myID4986,myID4987,myID4988,myID4989,myID4990
fam232	3	PARTIAL	myID4369,myID4370,myID4371,myID4372,myID4374,myID4375,myID4376
fam233	3	PARTIAL	myID333,myID334,myID335,myID336,myID337
fam234	3	PARTIAL	myID5176,myID5177,myID5178,myID5179,myID5180
fam235	3	PARTIAL	myID3151,myID3152,myID3153,myID3154
fam236	2	PARTIAL	myID670,myID671,myID672,myID673,myID674,myID675
fam237	4	PARTIAL	myID1875,myID1876,myID1877,myID1878,myID1879,myID1881
fam238	3	PARTIAL	myID2107,myID2108,myID2109,myID2110,myID2111,myID2112,myID2113,myID2114
fam239	2	PARTIAL	myID4095,myID4096,myID4097,myID4098,myID4099,myID4100,myID4101
fam240	4	PARTIAL	myID3481,myID3482,myID3483,myID3484,myID3485,myID3486
fam241	8	PARTIAL	myID5103,myID5104,myID5105,myID5106,myID5107,myID5108,myID5109
fam242	2	PARTIAL	myID5232,myID5233,myID5234,myID5235
fam243	2	PARTIAL	myID3609,myID3610,myID3611,myID3612,myID3613,myID3614,myID3636
fam244	4	PARTIAL	myID1834,myID1835,myID1836,myID1837,myID1880
fam245	4	PARTIAL	myID3006,myID3007,myID3008,myID3009,myID3010,myID3011,myID3012
fam246	5	PARTIAL	myID3825,myID3826,myID3827,myID3828,myID3829,myID3830
fam247	4	PARTIAL	myID1156,myID1157,myID1158,myID1159,myID1160
fam248	3	PARTIAL	myID4119,myID4120,myID4121,myID4122,myID4123
fam249	5	PARTIAL	myID1071,myID1072,myID1073,myID1074,myID1075,myID1076,myID1077,myID1078,myID1079,myID1080,myID1081
fam250	3	PARTIAL	myID4806,myID4807,myID4808,myID4809,myID4810
fam251	4	PARTIAL	myID2635
fam252	6	PARTIAL	myID4228,myID4229,myID4230,myID4231
fam253	2	PARTIAL	myID2031,myID2032,myID2033,myID2034,myID2035,myID2036,myID2037,myID2038
fam254	2	PARTIAL	myID261,myID262,myID263,myID264,myID265
fam255	2	PARTIAL	myID1168,myID1169,myID1170,myID1171,myID1172,myID1173
fam256	2	PARTIAL	myID438,myID439,myID440,myID441
fam257	2	PARTIAL	myID2917,myID2918,myID2919,myID2920,myID2921,myID2922
fam258	4	PARTIAL	myID272,myID273,myID274,myID275,myID276,myID277
fam259	2	PARTIAL	myID403,myID404,myID405,myID406,myID407,myID408,myID409,myID410
fam260	2	PARTIAL	myID2828,myID2829,myID2830,myID2831,myID2834
fam261	4	PARTIAL	myID4013,myID4014,myID4015,myID4016,myID4017,myID4018,myID4019
fam262	2	PARTIAL	myID6,myID7
fam263	5	PARTIAL	myID632,myID633,myID634,myID635,myID636
fam264	5	PARTIAL	myID5113,myID5114,myID5115,myID5119,myID5120,myID5121
fam265	2	PARTIAL	myID34,myID35,myID36
fam266	4	PARTIAL	myID4384,myID4385,myID4386,myID4387,myID4388,myID4389
fam267	2	PARTIAL	myID3715,myID3716,myID3717,myID3718,myID3983,myID3984
fam268	6	CORE	myID1667,myID1668,myID1669,myID1670,myID1671,myID1672
fam269	6	PARTIAL	myID2725,myID2729,myID2730,myID2731,myID2732,myID2733
fam270	3	PARTIAL	myID4937,myID4938,myID4939,myID4940
fam271	2	PARTIAL	myID3659,myID3660,myID3661,myID3662,myID3663,myID3664,myID3665,myID3666
fam272	6	PARTIAL	myID4252,myID4253,myID4254,myID4255
fam273	4	PARTIAL	myID4224,myID4225,myID4226,myID4227,myID4228
fam274	5	PARTIAL	myID3707,myID3708,myID3709,myID3710,myID3711,myID3712
fam275	3	PARTIAL	myID1044,myID1045,myID1046,myID1047,myID1048
fam276	2	PARTIAL	myID845,myID846,myID847,myID848,myID849
fam277	6	CORE	myID1231,myID1234,myID1235,myID1236,myID1237
fam278	6	PARTIAL	myID1323,myID1324,myID1325,myID1326
fam279	5	PARTIAL	myID4234,myID4235,myID4236,myID4237,myID4238,myID4239
fam280	2	PARTIAL	myID2346,myID2347,myID2348,myID2349,myID2350
fam281	4	PARTIAL	myID977,myID978,myID979,myID980
fam282	5	PARTIAL	myID4830,myID4831,myID4832,myID4833,myID4834,myID4835,myID4836,myID4837,myID4838
fam283	4	PARTIAL	myID1847,myID1848,myID1849,myID1850
fam284	7	PARTIAL	myID4602,myID4603,myID4604,myID4605,myID4606,myID4607
fam285	2	PARTIAL	myID1365,myID1366,myID1367,myID1368,myID1369,myID1370
fam286	4	PARTIAL	myID1934,myID1935
fam287	2	PARTIAL	myID3989,myID3990,myID3991,myID3992
fam288	3	PARTIAL	myID918,myID919,myID920,myID921,myID922,myID923,myID924
fam289	2	PARTIAL	myID4572,myID4573,myID4574,myID4575,myID4576
fam290	3	PARTIAL	myID1081,myID3873,myID3874,myID3875,myID3876,myID3877
fam291	2	PARTIAL	myID3094,myID3095,myID3096,myID3097,myID3098
fam292	3	PARTIAL	myID3673,myID3674,myID3675,myID3676,myID3677
fam293	2	PARTIAL	myID1967,myID1968,myID1969,myID1970,myID1971
fam294	6	PARTIAL	myID283,myID284,myID285,myID286,myID287,myID288
fam295	5	PARTIAL	myID2332,myID2333,myID2334,myID2335,myID2336,myID2337,myID2338,myID2339,myID2340
fam296	2	PARTIAL	myID1465,myID1466,myID1467,myID1468,myID1469
fam297	8	CORE	myID3287,myID3288,myID3289,myID3290,myID3291,myID3292,myID3293,myID3294,myID3295,myID3296
fam298	3	PARTIAL	myID1562,myID1563
fam299	4	PARTIAL	myID3297,myID3298,myID3299,myID3300,myID3301,myID3302
fam300	5	PARTIAL	myID4430,myID4431,myID4432,myID4433,myID4434
fam301	2	PARTIAL	myID1462,myID1463,myID1464,myID1465
fam302	7	CORE	myID3840,myID3841,myID3842,myID3843,myID3844,myID3845,myID3846,myID3847,myID3848,myID3849,myID3850,myID3851,myID3852,myID3853
fam303	2	PARTIAL	myID3561,myID3562,myID3563,myID3564,myID3565,myID3566
fam304	4	PARTIAL	myID1971,myID1972,myID1973,myID1974
fam305	3	PARTIAL	myID5149,myID5150
fam306	2	PARTIAL	myID4971,myID4972,myID4973,myID4974,myID4975
fam307	4	PARTIAL	myID3417,myID3418,myID3419,myID3420,myID3421,myID3422,myID3423
fam308	4	PARTIAL	myID3573,myID3574,myID3575,myID3576,myID3577,myID3578
fam309	3	PARTIAL	myID3988,myID3989,myID3990,myID3991
fam310	2	PARTIAL	myID1827,myID1828,myID1829,myID1830
fam311	3	PARTIAL	myID4616
fam312	3	PARTIAL	myID4292,myID4293
fam313	3	PARTIAL	myID3153,myID3154,myID3155,myID3156,myID3157,myID3158
fam314	5	CORE	myID2823,myID2824,myID2825,myID2826,myID2827,myID2828
fam315	4	CORE	myID882,myID883,myID884,myID885,myID886,myID887,myID888
fam316	2	PARTIAL	myID3413,myID3414,myID3415,myID3416,myID3417,myID3418,myID3419
fam317	4	PARTIAL	myID4492,myID4493,myID4494,myID4495
fam318	3	PARTIAL	myID2928,myID2929,myID2930,myID2931
fam319	2	PARTIAL	myID2341,myID2342,myID2343,myID2344,myID2345,myID2346,myID2347
fam320	6	PARTIAL	myID3545,myID3546,myID3547,myID3548,myID3549,myID3550,myID3551
fam321	7	PARTIAL	myID2283,myID2284,myID2285,myID2286,myID2287
fam322	5	PARTIAL	myID4558,myID4559,myID4560,myID4561,myID4562,myID4563,myID4564,myID4565,myID4566
fam323	5	PARTIAL	myID4578,myID4579,myID4580,myID4581,myID4582,myID4583
fam324	5	PARTIAL	myID190,myID191,myID192,myID193,myID194,myID195
fam325	2	PARTIAL	myID1446,myID1688,myID1689,myID1690,myID1691,myID1692,myID1693
fam326	5	PARTIAL	myID1483,myID1484,myID1485,myID1486,myID1487
fam327	3	PARTIAL	myID1118,myID1119,myID1121,myID1122,myID1123,myID1124,myID1125
fam328	2	PARTIAL	myID3770,myID3772,myID3773,myID3774,myID3775
fam329	3	PARTIAL	myID205,myID206,myID207,myID208
fam330	4	PARTIAL	myID2234,myID2235,myID2236,myID2237,myID2238
fam331	2	PARTIAL	myID169,myID170,myID171,myID172,myID173,myID174
fam332	2	PARTIAL	myID2768,myID2769
fam333	5	PARTIAL	myID5053,myID5054,myID5055,myID5056,myID5057,myID5058
fam334	2	PARTIAL	myID635,myID636,myID637,myID638,myID639,myID640
fam335	4	PARTIAL	myID1895,myID1896,myID1897
fam336	4	PARTIAL	myID4576,myID4577,myID4578,myID4579,myID4580
fam337	2	PARTIAL	myID3484,myID3485,myID3486,myID3487,myID3488,myID3489
fam338	4	PARTIAL	myID4017,myID4018,myID4019,myID4020,myID4021,myID4022,myID4023
fam339	5	PARTIAL	myID3917,myID3918,myID3919,myID3920
fam340	2	PARTIAL	myID3234,myID3235,myID3236,myID3237,myID3238,myID3239
fam341	5	PARTIAL	myID4889,myID4890,myID4891,myID4892,myID4893
fam342	2	PARTIAL	myID5170,myID5171,myID5172,myID5173,myID5174,myID5175
fam343	4	PARTIAL	myID220,myID221,myID222,myID223,myID224
fam344	4	PARTIAL	myID2028,myID2029,myID2030,myID2031,myID2032,myID2033
fam345	3	PARTIAL	myID5276,myID5277,myID5278,myID5279,myID5280,myID5281
fam346	3	PARTIAL	myID1428,myID1429,myID1430,myID1431,myID1432
fam347	2	PARTIAL	myID2384,myID2385
fam348	8	CORE	myID5097,myID5098,myID5099,myID5100,myID5101,myID5102
fam349	8	CORE	myID4269,myID4270,myID4271,myID4272,myID4273,myID4274,myID4275,myID4276
fam350	6	PARTIAL	myID886,myID887,myID888,myID889,myID890,myID891,myID892
fam351	4	PARTIAL	myID5269,myID5270,myID5271,myID5272,myID5274,myID5275,myID5276,myID5277,myID5278
